Symbol,HGNC_ID,URL
AKR1B1,381,https://identifiers.org/hgnc:381
AKR1B10,382,https://identifiers.org/hgnc:382
AKR1B15,37281,https://identifiers.org/hgnc:37281
AKR1C1,384,https://identifiers.org/hgnc:384
AKR1C2,385,https://identifiers.org/hgnc:385
AKR1C3,386,https://identifiers.org/hgnc:386
AKR1C4,387,https://identifiers.org/hgnc:387
AKR1C6P,44680,https://identifiers.org/hgnc:44680
AKR1C7P,44681,https://identifiers.org/hgnc:44681
AKR1D1,388,https://identifiers.org/hgnc:388
AKR1E2,23437,https://identifiers.org/hgnc:23437
